REGISTRO;POZO;ALS;AREA;FORMACION;FechaMonitoreo; BWPD ; BOPD ; BFPD ;BSW; PPMaverage ; PPMmax ;P25to45;P45to106;P106to250;P250to425;PM425;CUADRILLA
3058;5055;BM;CIRA SUR;MUGROSA C;13-may;1;41,87;42,87;1,34%;38,64;39,42;32,36%;;49,09%;17,71%;0,84%;C1
3059;3385;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;9-may;1267;55,49;1322,49;95,83%;2,42;5,07;78,47%;;9,38%;5,90%;6,25%;C2
3060;2465;BM;INFA NORTE;MUGROSA C;9-may;871;17,79;888,79;97,99%;43,06;104,67;58,14%;;31,77%;6,55%;3,54%;C2
3061;4614;BM;;;10-may;222;171,2;393,2;56,49%;3,22;3,23;36,99%;;55,69%;5,28%;2,03%;C2
3062;2101;ESP;CIRA SUR;MUGROSA C;10-may;1601;98;1699;94,22%;41,72;71,46;58,28%;;34,24%;5,22%;2,25%;C2
3063;3498;BM;;;10-may;11;359,2;370,2;3,00%;5,78;6,12;41,24%;;37,79%;11,98%;8,99%;C2
3064;2887;PCP;CIRA ESTE;MUGROSA C;13-may;666;47,8;713,8;93,28%;34,91;70,71;95,86%;;2,00%;0,98%;1,17%;C2
3065;2172;ESP;CIRA SUR;MUGROSA C;10-may;828;88,1;916,1;90,35%;106,33;244,95;57,62%;;36,51%;4,71%;1,16%;C2
3066;3536;ESP;CIRA NORTE;MUGROSA C;13-may;1066;39,81;1105,81;96,43%;129,51;336,7;57,93%;;32,75%;8,02%;1,31%;C2
3067;4537;PCP;;;9-may;457;93;550;83,00%;9,33;18,85;33,15%;;46,52%;16,57%;3,76%;C3
3068;3619;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;9-may;569;59,9;628,9;90,40%;8,83;21,86;12,45%;;39,26%;37,55%;10,74%;C3
3069;2391;BM;INFA CENTRAL;MUGROSA B;10-may;0;2,4;2,4;1,00%;7,9;24,46;75,81%;;21,69%;1,95%;0,56%;C3
3070;928;BM;CIRA SUR;MUGROSA CB;10-may;445;0,2;445,2;100,00%;195,97;441,43;64,91%;;30,68%;3,92%;0,48%;C3
3071;2217;BM;CIRA NORTE;MUGROSA C;10-may;779;30;809;96,30%;4,45;20,49;62,41%;;18,61%;9,49%;9,49%;C3
3072;2258;BM;CIRA ESTE;MUGROSA C;10-may;627;69,5;696,5;90,00%;52,18;142,54;73,34%;;24,87%;1,33%;0,46%;C3
3073;2212;ESP;CIRA SUR;MUGROSA C;13-may;1432;67,89;1499,89;95,46%;95,8;159,51;54,63%;;19,40%;24,15%;1,81%;C3
3074;4632;ESP;CIRA SUR;MUGROSA C;13-may;486;33,57;519,57;93,59%;5,68;10,33;36,19%;;45,33%;10,10%;8,38%;C3
