Nombre;NAME;TOPX;TOPY;LEASE;CURRENTTYPE;STRUCTURE;MOP
451;CIRA0451;1032865.57;1264675.64;451;PROD_OIL;CIRA SOUTH;BEAM
453;CIRA0453;1032350.44;1262166.65;453;PROD_OIL;CIRA SOUTH;BEAM
454;CIRA0454;1032185.53;1263673.88;454;PROD_OIL;CIRA SOUTH;BEAM
458;CIRA0458;1032521.46;1262073.42;458;PROD_OIL;CIRA SOUTH;BEAM
460;CIRA0460;1033037.46;1265779.91;460;PROD_OIL;CIRA NORTH;BEAM
464;CIRA0464;1032004.61;1262357.36;464;PROD_OIL;CIRA SOUTH;BEAM
466;CIRA0466;1033386.13;1263976.64;466;PROD_OIL;CIRA SOUTH;BEAM
468;CIRA0468;1032700.42;1260774.37;468;PROD_OIL;CIRA SOUTH;BEAM
469;CIRA0469;1032352.62;1261573.97;469;PROD_OIL;CIRA SOUTH;BEAM
472;CIRA0472;1031779.96;1264090.43;472;PROD_OIL;CIRA SOUTH;BEAM
476;CIRA0476;1033393.98;1261369.2;476;PROD_OIL;INFANTAS NORTH;BEAM
479;CIRA0479;1032532.36;1260858.63;479;PROD_OIL;CIRA SOUTH;BEAM
481;CIRA0481;1033728.26;1266576.5;481;PROD_OIL;CIRA EAST;BEAM
487;CIRA0487;1033298.14;1266165.52;487;PROD_OIL;CIRA NORTH;BEAM
488;CIRA0488;1032001.15;1264173.88;488;PROD_OIL;CIRA SOUTH;BEAM
490;CIRA0490;1032891.03;1266054.51;490;PROD_OIL;CIRA NORTH;BEAM
493;CIRA0493;1033390.95;1262384.9;493;PROD_OIL;CIRA SOUTH;BEAM
494;CIRA0494;1031826.46;1265272.93;494;PROD_OIL;CIRA NORTH;BEAM
496;CIRA0496;1032559.11;1262241.17;496;PROD_OIL;CIRA SOUTH;BEAM
497;CIRA0497;1032858.3;1262273.27;497;PROD_OIL;CIRA SOUTH;BEAM
500;CIRA0500;1032524.52;1260181.7;500;PROD_OIL;CIRA SOUTH;BEAM
501;CIRA0501;1033551.36;1266706.23;501;PROD_OIL;CIRA EAST;BEAM
502;CIRA0502;1033395.88;1266423.98;502;PROD_OIL;CIRA EAST;BEAM
503;CIRA0503;1031889.52;1265058.42;503;PROD_OIL;CIRA SOUTH;BEAM
507;CIRA0507;1033274.68;1261457.61;507;PROD_OIL;INFANTAS NORTH;BEAM
508;CIRA0508;1031644.28;1261159.29;508;PROD_OIL;CIRA SOUTH;BEAM
511;CIRA0511;1031140.88;1261876.59;511;PROD_OIL;CIRA SOUTH;BEAM
513;CIRA0513;1033338.17;1262327.44;513;PROD_OIL;CIRA SOUTH;BEAM
520;CIRA0520;1032244.45;1260901.09;520;PROD_OIL;CIRA SOUTH;BEAM
522;CIRA0522;1033399.42;1264780.8;522;PROD_OIL;CIRA EAST;BEAM
523;CIRA0523;1032645.07;1262036.27;523;PROD_OIL;CIRA SOUTH;BEAM
